Ranking_2020,Pais,Indice_Costo_Vida,Indice_renta,Indice_Costo_Vida_mas_Renta,Indice_alimentos,Indice_Precio_Restaurant,Indice_Poder_Adquisitivo_Local,Combo_MC($)
135,93,21,4.28,12.86,18.21,16.25,28.39,4.06
134,53,24.12,5.5,15.05,24.57,16.38,50.55,4.05
133,67,24.7,7.78,16.46,21.76,20.96,23.56,0
132,1,26.71,3.99,15.65,18.99,18.48,28.19,0
131,120,27.04,5.77,16.68,24.42,23.21,9.48,0
130,133,27.37,7.59,17.74,22.87,21.25,22.25,3
129,125,27.93,5.49,17,26.92,14.51,30.24,3.65
128,85,28.17,4.69,16.73,24.98,19.16,20.17,6.55
127,65,28.42,8.5,18.72,26.62,19.46,43.32,3.57
126,3,28.88,5.01,17.25,29.2,14.98,26.9,3.5
125,28,29.02,9.02,19.28,23.97,20.38,27.92,4.67
124,37,29.55,5.53,17.85,25.54,23.52,21.09,5.11
123,44,29.71,10.35,20.28,25.32,26.13,24.77,4.38
122,89,29.76,27.24,28.53,30.39,17.66,11.1,5.26
121,128,30.05,9.06,19.83,24.4,23.8,30.9,3.53
120,96,30.34,9.37,20.13,24.8,23.25,30.93,3.85
119,77,30.93,10.37,20.91,28.93,25.46,38.17,4.98
118,127,30.96,8.79,20.17,26.19,22.42,14.73,0
117,20,30.99,7.91,19.75,23.58,22.03,30.36,5.02
116,63,31.01,9.52,20.55,25.85,27.2,38.26,4.71
115,8,31.14,9.1,20.41,25.1,29.65,27.19,4.7
114,4,31.18,7.29,19.55,25.17,26.91,43.38,5.7
113,126,32.44,6.71,19.91,27.74,20.72,38.04,3.14
112,13,32.63,9.27,21.25,27.79,32.71,33.7,3.92
111,116,32.93,8.76,21.16,37.32,17.15,21.42,4.59
110,90,32.96,6.3,19.98,26.77,22.46,33.3,3.48
109,11,33.41,5.04,19.59,30.64,19.42,27.59,5.91
108,78,33.52,8.37,21.27,25.98,28.74,25.39,5.81
107,104,33.66,9.64,21.96,27.36,31.12,35.96,3.31
106,5,33.71,10.81,22.56,26.32,27.86,26.09,5.09
105,79,33.97,10.97,22.77,33.6,22.37,28.38,0
104,81,34.44,8.53,21.82,30.14,24.24,33.44,6.05
103,17,36.02,10.78,23.73,31.07,24.83,39.3,6.27
102,105,36.21,14.64,25.71,29.74,30.74,20.54,0
101,103,36.23,9.89,23.4,30.56,30.37,46.7,4.88
100,18,36.57,6.59,21.97,29.15,24.05,41.58,4.66
99,122,36.85,13.21,25.34,32.44,24.07,13.89,0
98,54,36.86,10.02,23.79,37.6,17.74,22.19,3.52
97,2,36.96,7.94,22.83,29.79,25.93,28.12,4.8
96,107,36.98,9.07,23.39,27.31,28.14,36.04,5.57
95,113,37.52,14.52,26.32,30.14,33.18,73.52,3.94
94,97,37.64,12.33,25.32,34.29,23.29,30.66,4.73
93,64,37.75,9.34,23.92,34,31.23,28.98,6.01
92,74,38.09,10,24.41,38.22,20.57,59.12,3.67
91,84,38.12,12.52,25.65,31.83,36.63,58.12,0
90,134,38.12,13.48,26.12,37.65,19.06,26.98,4.33
89,22,38.39,9.5,24.32,32.32,29.33,44.11,5.48
87,55,38.47,16.34,27.69,32.43,24.7,21.88,4.27
88,83,38.47,26.72,32.75,39.35,20.68,10.33,0
86,112,38.48,5.22,22.28,45.94,25.75,28.91,0
85,56,38.49,10.84,25.03,32.36,30.21,41.54,7
84,46,38.52,20.93,29.95,38.15,26.54,16.02,0
83,80,38.68,10.6,25.01,29.74,30.35,37.54,4.16
82,24,38.95,7.06,23.42,38.49,22.18,16.6,0
81,19,39.13,9.75,24.82,34.01,39.11,66.79,0
80,98,39.25,10.12,25.07,36.04,20.64,21.38,3.11
79,99,39.46,15.77,27.93,30.72,32.44,52.3,5.33
78,27,39.51,15.2,27.67,41.31,25.88,60.44,5.31
77,82,39.98,17.04,28.81,30.71,30.1,15.17,0
76,51,40.09,12.68,26.74,31.6,31.09,46.3,5.28
75,36,40.62,11.68,26.53,35.68,27.67,32.7,6
74,35,41.76,10.05,26.32,35.41,35.1,22.69,6.28
73,49,42.73,10.69,27.13,34.94,28.22,30.08,6
72,88,43.7,7.93,26.28,40.6,29.26,19.67,0
71,31,43.85,4.3,24.59,38.63,32.13,2.05,0
70,48,44.23,15.18,30.08,38.84,32.28,34.35,5.79
69,71,44.85,13.44,29.56,34.97,40.64,55.57,5.95
68,38,44.96,12.77,29.29,43.82,33.1,22.56,6
67,33,45.05,18.37,32.06,38.53,30.86,59.28,6.37
66,26,45.43,13.66,29.96,37.78,42.9,35.55,6.2
65,132,46.66,13.04,30.29,36.95,43.13,33.77,7.73
64,110,46.8,15.68,31.65,40.7,34.52,53.39,7.14
63,21,47.49,21.9,35.03,44.48,34.08,75.32,0
62,23,47.91,14.39,31.59,47.04,22.51,11.66,0
61,117,47.95,9.36,29.16,48.53,44.21,18.52,0
60,123,48.97,16.29,33.06,49.38,23.64,33.02,6.59
59,106,49.15,11.61,30.87,39.36,31.42,93.84,6.67
58,68,49.18,12.66,31.4,37.15,40.35,49.49,5.95
57,92,49.42,16.78,33.52,44.85,41.08,87.3,6.49
56,100,49.52,20.78,35.52,38.97,39.26,47.1,7.14
55,41,49.65,17.79,34.13,55.32,37.11,31.49,0
54,66,49.86,29.84,40.11,35.07,43.54,79.31,6.54
53,76,51.75,11.1,31.96,52.09,36.99,28.79,0
52,39,52.93,14.59,34.26,39.67,52.38,66.08,7.14
51,15,53.08,11.67,32.91,46.98,35.49,47.93,0
50,62,53.4,10.63,32.57,43.07,43.82,34.7,7.05
49,135,54.06,10.31,32.75,48.47,39.36,22.59,0
48,29,54.2,15.4,35.31,51.18,43.39,36.43,6.84
47,60,54.36,15.26,35.32,56.28,34.82,35.55,4.92
46,40,54.86,15.43,35.66,38.08,20.18,9.13,0
45,94,54.96,9.29,32.72,48.51,37.26,40.94,7.5
44,95,55.02,23.6,39.72,55.67,46.43,33.79,7
43,111,55.17,17.47,36.81,46.42,44.15,60.61,7.02
42,115,55.27,21.69,38.91,44.89,51.68,67.73,8.92
41,30,56.31,13.71,35.56,50.6,45.51,43.25,7.08
40,124,56.66,16.88,37.29,54.08,52.55,41.39,5.91
39,47,57.5,11.89,35.29,43.67,52.42,40.75,7.55
38,10,58.36,29.46,44.29,47.99,50.37,56.17,6.37
37,32,59.93,20.5,40.73,47.04,61.84,56.8,7.14
36,121,61.95,16.87,40,74.5,26.03,61.36,4.56
35,129,62.98,40.03,51.81,49.26,59.17,86.06,7.21
34,69,64.26,23.18,44.25,50.7,54.77,35.28,9.95
33,130,65.67,28.31,47.48,51.15,68.45,86.98,8.01
32,70,66.06,14.88,41.14,76.25,37.6,38.39,0
31,25,66.18,29.28,48.21,63.4,59.6,83.22,7.68
30,45,66.34,26.99,47.18,50.29,60.53,97.41,9.52
29,102,67.54,46.01,57.05,59.2,63.91,99.82,6.87
28,59,68.95,21.4,45.79,58.29,68.8,61.8,9.52
27,75,69.26,30.4,50.34,57.97,71.82,44.65,9.52
26,101,70.02,18.89,45.12,71.53,57.74,71.16,0
25,73,70.18,42.47,56.69,67.3,48.91,73.01,0
24,7,71.78,26.32,49.64,63.63,66.24,79.38,9.52
23,87,71.83,31.74,52.31,66.29,63.05,87.22,8.36
22,118,72.31,25.86,49.69,63.62,71.03,94.04,9.36
21,131,72.47,40.07,56.69,69.68,68.29,108.29,8
20,42,72.71,25.89,49.91,59.61,77.75,93.94,9.52
19,14,73.59,24.4,49.63,61.73,75.62,80.12,9.7
18,108,74.41,30.11,52.83,74.36,75.47,19.77,0
17,86,74.63,35.59,55.62,57.81,76.09,86.76,9.52
16,6,75.89,34.18,55.58,70.62,68.88,103.38,8.8
15,114,75.93,21.91,49.63,91.35,40.47,81.67,5.86
14,43,76.34,25.85,51.75,72.34,69.07,76.21,10.11
13,50,77.9,75.26,76.62,77.47,54.7,67.02,5.16
12,57,78.07,41.63,60.33,61.63,76.61,74.58,9.52
11,12,79.92,20.16,50.82,67.5,68.34,49.24,0
10,109,81.13,61.27,71.46,69.2,58,82.61,5.96
9,58,82.52,29.96,56.93,68.65,86.25,73.94,15
8,9,84.25,37.04,61.26,64.89,83.29,53.12,0
7,72,84.38,55.11,70.13,74.03,86.29,99.86,0
6,34,85.02,33.1,59.74,65.85,95.71,101.27,12.63
5,61,86.22,26.18,56.98,86.84,48.07,78.88,6.7
4,52,90.19,38.54,65.04,80.91,97.17,74.78,13.31
3,91,96.8,32.61,65.54,89.55,96.81,83.4,12.36
2,119,125.69,51.2,89.41,124.93,118.55,114.83,15.36
1,16,147.77,85.7,117.54,146.63,152.52,78.17,0
